HDI rank,Country,Life expectancy at birth(years),Expected years of schooling(years),Gross national income (GNI) per capita
166,Benin,59.8,10.8,3409
166,Uganda,62.7,10.1,2181
168,Lesotho,53.1,12,2700
169,Malawi,62.9,12.7,1466
170,Senegal,67.1,9,3344
171,Djibouti,62.3,7.4,5025
172,Sudan,65.3,7.9,3575
173,Madagascar,64.5,10.1,1484
174,Gambia,62.1,9.4,2172
175,Ethiopia,65,9.7,2361
176,Eritrea,66.5,8.1,1729
177,Guinea-Bissau,59.7,10.6,1908
178,Liberia,60.7,10.4,1289
179,Congo (Democratic Republic of the),59.2,9.8,1076
180,Afghanistan,62,10.3,1824
181,Sierra Leone,60.1,9.6,1622
182,Guinea,58.9,9.8,2481
183,Yemen,63.8,9.1,1314
184,Burkina Faso,59.3,9.1,2118
185,Mozambique,59.3,10.2,1198
186,Mali,58.9,7.4,2133
187,Burundi,61.7,10.7,732
188,Central African Republic,53.9,8,966
189,Niger,61.6,7,1240
190,Chad,52.5,8,1364
191,South Sudan,55,5.5,768
